Cycle,Sector,RA,Dec,Roll,Start,End
1,1,352.6844,-64.8531,222.1532,2458324.5,2458352.5
1,2,16.5571,-54.016,220.4335,2458352.5,2458381.5
1,3,36.3138,-44.259,213.0384,2458381.5,2458409.5
1,4,55.007,-36.642,202.8302,2458409.5,2458437.5
1,5,73.5382,-31.9349,191.0517,2458437.5,2458463.5
1,6,92.0096,-30.5839,178.6367,2458463.5,2458490.5
1,7,110.2559,-32.6344,166.4476,2458490.5,2458516.5
1,8,128.1156,-37.737,155.3091,2458516.5,2458542.5
1,9,145.9071,-45.3044,145.9163,2458542.5,2458568.5
1,10,165.0475,-54.8165,139.1724,2458568.5,2458595.5
1,11,189.1247,-65.5369,138.0761,2458595.5,2458624.5
1,12,229.5885,-75.1256,153.9773,2458624.5,2458653.5
1,13,298.6671,-76.3281,198.9378,2458653.5,2458682.5
2,14,276.7169,62.4756,32.2329,2458682.5,2458710.5
2,15,280.3985,64.0671,55.4277,2458710.5,2458737.5
2,16,282.4427,66.1422,79.4699,2458737.5,2458763.5
2,17,351.2381,57.8456,41.9686,2458763.5,2458789.5
2,18,16.1103,67.9575,40.5453,2458789.5,2458814.5
2,19,60.2026,76.2343,19.6463,2458814.5,2458841.5
2,20,129.3867,75.252,334.5689,2458841.5,2458869.5
2,21,171.7951,65.1924,317.9495,2458869.5,2458897.5
2,22,197.1008,53.7434,319.6992,2458897.5,2458926.5
2,23,217.2879,43.8074,327.4246,2458926.5,2458955.5
2,24,261.4516,63.1181,317.2624,2458955.5,2458982.5
2,25,265.6098,61.9383,339.5293,2458982.5,2459008.5
2,26,270.1381,61.5637,0.6038,2459008.5,2459034.5
3,27,326.8525,-72.4265,214.5061,2459034.5,2459060.5
3,28,357.2944,-63.0056,222.5216,2459060.5,2459087.5
3,29,18.919,-52.8296,219.797,2459087.5,2459114.5
3,30,38.3564,-43.3178,212.0441,2459114.5,2459143.5
3,31,57.6357,-35.7835,201.2334,2459143.5,2459172.5
3,32,77.1891,-31.3957,188.6263,2459172.5,2459200.5
3,33,96.5996,-30.7848,175.5369,2459200.5,2459227.5
3,34,115.2951,-33.779,163.1916,2459227.5,2459254.5
3,35,133.2035,-39.6871,152.4006,2459254.5,2459280.5
3,36,150.9497,-47.7512,143.7306,2459280.5,2459306.5
3,37,170.254,-57.3725,138.1685,2459306.5,2459332.5
3,38,195.7176,-67.8307,139.3519,2459332.5,2459360.5
3,39,242.1981,-76.3969,161.5986,2459360.5,2459389.5
4,40,273.0766,61.745,14.1539,2459389.5,2459418.5
4,41,277.6209,62.764,37.2224,2459418.5,2459446.5
4,42,13.014,6.3337,292.8009,2459446.5,2459473.5
4,43,49.526,18.9737,284.9617,2459473.5,2459499.5
4,44,89.6066,24.1343,270.1557,2459499.5,2459524.5
4,45,130.296,19.0181,255.0927,2459524.5,2459550.5
4,46,157.6997,10.0922,248.4063,2459550.5,2459578.5
4,47,143.3807,73.1125,327.102,2459578.5,2459607.5
4,48,179.4254,62.1038,317.4166,2459607.5,2459636.5
4,49,202.6424,50.9532,321.3516,2459636.5,2459664.5
4,50,221.8575,41.7577,329.734,2459664.5,2459691.5
4,51,239.4257,35.2333,339.865,2459691.5,2459717.5
4,52,266.3618,61.819,343.1429,2459717.5,2459743.5
4,53,270.8126,61.5761,3.6838,2459743.5,2459769.5
4,54,290.121,32.6073,13.4565,2459769.5,2459796.5
4,55,307.8655,37.6464,24.5369,2459796.5,2459823.5
5,56,324.2778,46.3448,36.2524,2459823.5,2459852.5
5,57,344.2275,56.4121,44.01,2459852.5,2459881.5
5,58,9.3118,67.6524,45.3615,2459881.5,2459909.5
5,59,52.9755,77.1746,26.5121,2459909.5,2459936.5
5,60,125.6742,77.3113,337.3244,2459936.5,2459962.5
5,61,118.0446,-36.0902,162.2198,2459962.5,2459987.5
5,62,135.2412,-42.2415,151.5884,2459987.5,2460013.5
5,63,153.0613,-50.6996,142.7405,2460013.5,2460040.5
5,64,173.2653,-60.865,137.281,2460040.5,2460068.5
5,65,201.6239,-71.5724,140.7443,2460068.5,2460097.5
5,66,259.1702,-78.7974,173.9147,2460097.5,2460126.5
5,67,326.7691,-74.2796,217.4678,2460126.5,2460154.5
5,68,359.2829,-64.2357,226.0975,2460154.5,2460181.5
5,69,20.0449,-54.2315,222.7721,2460181.5,2460207.5
6,70,24.0414,9.2629,291.2985,2460207.5,2460233.5
6,71,77.3449,22.222,274.9979,2460233.5,2460259.5
6,72,133.7631,16.6536,254.0304,2460259.5,2460285.5
6,73,80.6709,78.8333,8.033,2460285.5,2460312.5
6,74,261.2194,72.302,213.9191,2460312.5,2460339.5
6,75,254.929,69.9395,247.4882,2460339.5,2460366.5
6,76,253.5335,66.8396,276.6424,2460366.5,2460395.5
6,77,255.859,63.8557,302.3416,2460395.5,2460423.5
6,78,260.4232,61.5745,325.7085,2460423.5,2460451.5
6,79,266.0595,60.3042,347.5089,2460451.5,2460479.5
6,80,275.6978,32.2323,5.4938,2460479.5,2460506.5
6,81,292.5709,34.6859,17.1317,2460506.5,2460532.5
6,82,309.1299,39.776,27.7999,2460532.5,2460558.5
6,83,325.8933,47.1247,37.0453,2460558.5,2460584.5
7,84,343.8717,56.2316,43.9159,2460584.5,2460609.5
7,85,5.8776,66.3525,45.8046,2460609.5,2460635.5
7,86,42.6741,75.893,32.5811,2460635.5,2460662.5
7,87,97.9629,-32.3927,175.9167,2460662.5,2460689.5
7,88,116.8315,-35.7542,163.0201,2460689.5,2460717.5
7,89,135.8409,-42.4981,151.2486,2460717.5,2460746.5
7,90,155.0705,-51.7243,141.9459,2460746.5,2460774.5
7,91,227.0409,-16.8742,254.2704,2460774.5,2460802.5
7,92,311.9633,-17.1415,285.4229,2460802.5,2460829.5
7,93,260.5165,-78.8295,174.8522,2460829.5,2460855.5
7,94,323.47,-74.8966,215.8459,2460855.5,2460881.5
7,95,355.7011,-65.7252,225.9414,2460881.5,2460907.5
7,96,16.7112,-55.9356,223.7615,2460907.5,2460933.5
8,97,41.6581,-41.8452,210.3682,2460933.5,2460988.5
8,98,80.1656,-31.0553,186.6394,2460988.5,2461045.5
8,99,157.205,-41.1581,215.9362,2461045.5,2461073.5
8,100,180.5352,-51.9138,212.8651,2461073.5,2461100.5
8,101,209.0229,-62.0323,217.7538,2461100.5,2461126.5
8,102,249.1776,-68.7051,236.0704,2461126.5,2461151.5
8,103,297.5431,-68.1075,263.1873,2461151.5,2461177.5
8,104,335.4613,-60.7536,279.238,2461177.5,2461204.5
8,105,2.5764,-50.5513,282.7413,2461204.5,2461232.5
8,106,25.0148,-40.1221,279.1045,2461232.5,2461261.5
8,107,45.8709,-31.2349,271.3363,2461261.5,2461290.5
